,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
576,3314839613,Morning Run,2020-04-18T10:00:43Z,Run,7104.5,2150,2758,120.9,[],30409425710.tcx
577,3310354742,Morning Run,2020-04-17T08:24:29Z,Run,3783.2,1118,2105,67.2,[],30400747425.tcx
578,3305674102,Morning Run,2020-04-16T08:15:32Z,Run,6022.8,1880,2497,102.0,[],30384199396.tcx
579,3300871967,Morning Run,2020-04-15T08:14:52Z,Run,5692.6,1758,2384,97.7,[],30361620636.tcx
580,3296284882,Morning Run,2020-04-14T08:02:46Z,Run,5003.9,1465,1791,83.3,[],30312734666.tcx
581,3283385551,Lunch Run,2020-04-11T12:24:23Z,Run,3100.8,878,1236,54.6,[],garmin_push_4767977658
582,3207148423,Afternoon Run,2020-03-22T16:51:58Z,Run,3029.8,919,919,23.9,"[-26.103055, 27.963065]",garmin_push_4684212922
583,3194475732,Afternoon Run,2020-03-18T17:59:32Z,Run,3058.3,914,921,23.9,"[-26.103008, 27.962898]",garmin_push_4669317231
584,3123655951,Beach Run - Sri Lanka ,2020-02-23T07:09:44Z,Run,4075.0,1448,1820,26.6,"[6.128977, 80.10289]",garmin_push_4580386022
585,3120525388,Morning Run,2020-02-22T07:13:27Z,Run,6052.8,2205,2950,45.9,"[6.128895, 80.102804]",garmin_push_4576520100
586,3075883952,Morning Run,2020-02-06T05:57:07Z,Run,10036.6,3096,3682,132.3,"[-26.103055, 27.962941]",garmin_push_4519428029
587,3069934718,Morning Run,2020-02-04T05:57:15Z,Run,6592.0,1924,1986,80.5,"[-26.103285, 27.963359]",garmin_push_4511810021
588,3069934574,Morning Run,2020-02-04T05:38:36Z,Run,3525.5,1069,1069,55.9,"[-26.11214, 27.961848]",garmin_push_4511809834
589,3068601674,Afternoon Run,2020-02-03T17:54:46Z,Run,3007.6,841,841,24.4,"[-26.103399, 27.963268]",garmin_push_4510168124
590,3058295928,Morning Run,2020-01-31T05:24:08Z,Run,11020.8,3399,3904,172.6,"[-26.103041, 27.962685]",garmin_push_4497039135
591,3053964180,Afternoon Run,2020-01-29T17:27:24Z,Run,10100.3,3019,3340,143.1,"[-26.103085, 27.962874]",garmin_push_4491668956
592,3050837145,Afternoon Run,2020-01-28T16:01:30Z,Run,5815.7,1952,2359,114.7,"[-26.086683, 28.012323]",garmin_push_4487688275
593,3050836692,Afternoon Run,2020-01-26T17:30:47Z,Run,2999.6,1080,1148,49.8,"[-26.086906, 28.012317]",garmin_push_4487687724
594,3036736084,Afternoon Run,2020-01-23T17:37:25Z,Run,12027.3,3685,4165,162.4,"[-26.103053, 27.962904]",garmin_push_4469824237
595,3020664465,George Claasen Half,2020-01-18T05:49:45Z,Run,21351.3,6472,6472,344.9,"[-25.782706, 28.303752]",garmin_push_4449472423
596,3012387535,Morning Run,2020-01-15T05:43:01Z,Run,3020.9,948,977,24.4,"[-26.103076, 27.962899]",garmin_push_4438770587
597,3009444515,Morning Run,2020-01-14T05:45:49Z,Run,4205.3,1341,1529,56.8,"[-26.103036, 27.962899]",garmin_push_4435035358
598,3003442643,Morning Run,2020-01-12T08:05:14Z,Run,11603.1,3533,3818,172.9,"[-26.115069, 28.019078]",garmin_push_4427465149
599,2994907698,Morning Run,2020-01-09T06:09:36Z,Run,8001.2,2537,2624,93.0,"[-26.103087, 27.962867]",garmin_push_4416587193
600,2989140963,Morning Run,2020-01-07T07:37:25Z,Run,7080.9,2209,2533,45.8,"[-26.118148, 28.018463]",garmin_push_4409332885
601,2987547570,Afternoon Run,2020-01-06T17:52:00Z,Run,3500.5,1070,1146,31.5,"[-26.102953, 27.962748]",garmin_push_4407331157
602,2987547272,Afternoon Run,2020-01-02T17:11:03Z,Run,1346.9,424,446,21.6,"[-29.009396, 29.473146]",garmin_push_4407330837
603,2973468330,Afternoon Run,2020-01-01T17:56:39Z,Run,2038.1,620,1090,29.6,"[-29.007838, 29.458972]",garmin_push_4389339382
604,2956674635,Morning Walk,2019-12-26T08:55:52Z,Run,2049.4,1512,1880,34.0,"[-29.849761, 29.233727]",garmin_push_4367675123
605,2956674514,Morning Walk,2019-12-26T07:39:43Z,Run,3648.3,2575,3087,49.0,"[-29.848371, 29.218236]",garmin_push_4367674994
606,2954720222,Christmas Run ,2019-12-25T05:19:10Z,Run,18515.3,5978,6253,233.9,"[-29.84963, 29.233721]",garmin_push_4365045210
607,2952533230,Morning Hike,2019-12-24T04:16:34Z,Run,2535.0,2992,4132,199.0,"[-29.84986, 29.233715]",garmin_push_4362322586
608,2950557902,Morning Hike,2019-12-23T06:57:33Z,Run,4609.9,3640,4311,243.4,"[-29.84964, 29.233809]",garmin_push_4359811467
609,2949175701,Hill Repeats ,2019-12-22T14:45:34Z,Run,7226.7,2375,2898,207.3,"[-29.849687, 29.233699]",garmin_push_4358085877
610,2946154934,Morning Walk,2019-12-21T07:15:16Z,Run,10301.2,7112,9984,155.3,"[-29.84985, 29.233652]",garmin_push_4354357286
611,2945950632,Early Morning Hike ,2019-12-21T04:19:40Z,Run,3723.9,3729,4499,258.1,"[-29.849597, 29.233665]",garmin_push_4354037772
612,2945269879,Afternoon Run,2019-12-20T17:32:58Z,Run,4568.4,1419,1575,60.1,"[-29.849594, 29.233556]",garmin_push_4353169327
613,2942347943,Morning Run,2019-12-19T05:27:01Z,Run,12001.6,3755,3970,185.9,"[-26.103035, 27.962825]",garmin_push_4349296421
614,2938322112,Morning Run,2019-12-17T05:55:51Z,Run,3004.1,908,995,53.2,"[-26.051263, 28.07881]",garmin_push_4344137696
615,2936061449,Morning Run (Part 2),2019-12-16T06:02:01Z,Run,5136.3,1592,1649,81.0,"[-26.103094, 27.963002]",garmin_push_4341148729
616,2936061408,Morning Run (Part 1),2019-12-16T05:32:30Z,Run,4984.3,1541,1648,67.8,"[-26.100383, 27.966085]",garmin_push_4341148647
617,2932327124,Afternoon Swim,2019-12-14T16:16:58Z,Swim,500.0,661,1423,0,[],garmin_push_4336519455
618,2932324679,Afternoon Run,2019-12-14T15:26:21Z,Run,5108.6,1588,2020,68.4,"[-26.093483, 27.958211]",garmin_push_4336587661
619,2931347220,Parkrun (2nd),2019-12-14T07:51:03Z,Run,5003.5,1351,1351,116.8,"[-26.069329, 27.952838]",garmin_push_4335391406
620,2930101359,Afternoon Swim,2019-12-13T14:15:08Z,Swim,400.0,531,1969,0,[],garmin_push_4333764888
621,2930117921,Afternoon Run,2019-12-13T13:31:59Z,Run,2737.1,795,843,79.0,"[-26.094137, 27.956347]",garmin_push_4333789710
622,2927545062,Morning Run,2019-12-12T06:36:02Z,Run,7000.8,2126,2196,76.7,"[-26.102938, 27.962871]",garmin_push_4330425544
623,2925426137,Morning Run,2019-12-11T06:57:28Z,Run,6004.8,1808,1808,73.1,"[-26.102934, 27.9628]",garmin_push_4327745485
624,2925426024,Afternoon Run,2019-12-09T17:48:51Z,Run,1011.2,306,306,13.8,[],garmin_push_4327745346
625,2908644297,Afternoon Run,2019-12-03T17:56:59Z,Run,4008.2,1180,1180,52.5,"[-26.11468, 27.964256]",garmin_push_4306543603
626,2893051721,Evening Run,2019-11-26T18:04:04Z,Run,5009.4,1525,1568,77.2,"[-26.114774, 27.964216]",garmin_push_4286992033
627,2872002175,Afternoon Run,2019-11-17T17:42:54Z,Run,3900.0,1207,1207,0,[],
628,2872118634,Afternoon Run,2019-11-17T17:39:09Z,Run,8008.3,2421,2824,73.1,"[-25.751492, 28.244765]",garmin_push_4260829129
629,2869297411,Evening Run,2019-11-16T18:09:53Z,Run,4426.8,1313,1451,49.4,"[-25.751462, 28.244835]",garmin_push_4257494009
630,2864616443,Afternoon Run,2019-11-14T17:53:39Z,Run,6692.9,1997,2135,64.3,"[-25.751476, 28.244801]",garmin_push_4251686664
631,2863158814,Afternoon Run,2019-11-13T17:51:03Z,Run,5575.4,1655,1664,61.5,"[-25.751511, 28.244877]",garmin_push_4248811845
632,2855252645,Afternoon Run,2019-11-10T16:09:04Z,Run,5554.3,1668,1878,44.1,"[-25.751575, 28.244998]",garmin_push_4239881938
633,2850253165,Afternoon Run,2019-11-08T17:54:37Z,Run,8767.5,2689,2850,84.0,"[-25.751496, 28.244848]",garmin_push_4233770814
634,2845830294,Evening Run,2019-11-06T19:05:55Z,Run,4254.8,1381,1430,45.4,"[-25.752922, 28.249736]",garmin_push_4228214476
635,2840835228,Afternoon Run,2019-11-04T17:54:09Z,Run,2237.9,832,865,15.3,"[-25.751483, 28.244872]",garmin_push_4221956016
636,2838710082,Afternoon Run,2019-11-03T17:51:02Z,Run,8006.1,2439,3344,78.0,"[-25.753146, 28.249416]",garmin_push_4219068538
637,2833517644,Afternoon Run,2019-11-01T17:53:56Z,Run,9291.7,2898,2943,95.8,"[-25.752974, 28.249667]",garmin_push_4212657359
638,2831351896,Evening Run,2019-10-31T18:55:31Z,Run,4005.0,1364,1364,38.9,"[-25.753075, 28.249577]",garmin_push_4209922895
639,2828997075,Afternoon Run,2019-10-30T17:47:46Z,Run,9315.5,3221,3605,100.6,"[-25.75302, 28.249569]",garmin_push_4206961287
640,2823901316,Evening Run,2019-10-28T18:03:41Z,Run,5343.4,1562,1591,59.9,"[-25.751556, 28.24482]",garmin_push_4200656395
641,2821640400,Afternoon Run,2019-10-27T17:25:41Z,Run,3023.2,886,923,44.4,"[-26.043791, 27.971141]",garmin_push_4197655787
642,2818784665,Afternoon Run,2019-10-26T17:45:20Z,Run,3029.9,902,959,44.4,"[-26.043793, 27.971172]",garmin_push_4194028980
643,2797369962,Morning Run,2019-10-18T06:00:25Z,Run,3663.7,1176,1662,26.4,"[-25.751492, 28.244802]",garmin_push_4167575251
644,2793701114,Evening Run,2019-10-16T18:05:38Z,Run,4326.4,1258,1278,41.6,"[-25.753005, 28.249596]",garmin_push_4163143005
645,2788718643,Evening Run,2019-10-14T18:15:26Z,Run,3555.4,1127,1450,45.3,"[-25.752868, 28.249894]",garmin_push_4156937156
646,2786297851,Afternoon Run,2019-10-13T17:40:57Z,Run,7795.6,2218,2514,79.5,"[-25.75148, 28.244869]",garmin_push_4153828103
647,2779365819,Morning Run,2019-10-11T05:47:27Z,Run,6018.3,1827,2259,66.1,"[-25.751453, 28.244609]",garmin_push_4144840584
648,2779365698,Evening Run,2019-10-09T18:22:38Z,Run,2683.2,1083,1122,27.6,"[-25.751515, 28.244796]",garmin_push_4144840392
649,2772780088,Afternoon Run,2019-10-08T16:57:20Z,Run,5499.6,1632,1735,61.4,"[-25.751536, 28.244807]",garmin_push_4136863631
650,2770603981,Evening Run,2019-10-07T19:05:31Z,Run,3640.2,1065,1386,36.0,"[-25.752364, 28.25031]",garmin_push_4134133218
651,2768271160,Evening Run,2019-10-06T18:01:38Z,Run,3406.2,1015,1031,25.9,"[-25.751574, 28.244763]",garmin_push_4131131193
652,2761302990,Morning Run,2019-10-04T05:39:46Z,Run,5603.8,1755,2782,55.0,"[-25.751593, 28.244965]",garmin_push_4122567608
653,2757364221,Afternoon Run,2019-10-02T17:20:57Z,Run,5684.1,1721,1811,54.7,"[-25.751502, 28.24489]",garmin_push_4117820070
654,2754701943,Afternoon Run,2019-10-01T17:26:09Z,Run,5368.3,1597,1597,60.0,"[-25.751533, 28.244806]",garmin_push_4114564631
655,2719824070,Afternoon Run,2019-09-18T16:56:50Z,Run,10166.5,3100,3316,115.3,"[-25.744697, 28.255501]",garmin_push_4072032462
656,2713969295,Afternoon Run,2019-09-16T16:44:28Z,Run,11733.7,3588,3588,123.5,"[-25.751536, 28.244851]",garmin_push_4065001254
657,2707705092,Afternoon Run,2019-09-14T15:26:14Z,Run,6002.5,1799,1856,73.5,"[-26.102981, 27.962793]",garmin_push_4057444885
658,2698203974,Morning Run,2019-09-11T06:06:36Z,Run,10146.4,3179,3216,95.5,"[-25.751468, 28.24484]",garmin_push_4045979111
659,2688231833,Brooklyn Marathon ,2019-09-07T06:00:00Z,Run,21100.0,6378,6378,0,[],
660,2698203175,Evening Run,2019-09-04T18:56:19Z,Run,4006.2,1265,1277,40.4,"[-25.753117, 28.249829]",garmin_push_4045978091
661,2670709176,Afternoon Run,2019-09-01T15:40:50Z,Run,5298.2,1652,1666,55.0,"[-25.751409, 28.244561]",garmin_push_4012880654
662,2663763382,Morning Run,2019-08-30T06:45:35Z,Run,16022.5,5248,5313,158.2,"[-25.751437, 28.244696]",garmin_push_4004397421
663,2663762750,Beep test (Level 13.5) ,2019-08-27T18:00:01Z,Run,2317.5,752,765,5.7,"[-25.760382, 28.253389]",garmin_push_4004396836
664,2650744711,Afternoon Run,2019-08-25T16:31:06Z,Run,13506.3,4327,4372,134.0,"[-25.751408, 28.244575]",garmin_push_3988711550
665,2644448682,Afternoon Run,2019-08-23T17:18:06Z,Run,5359.6,1653,1737,50.5,"[-25.751472, 28.244665]",garmin_push_3981214266
666,2639293910,Evening Run,2019-08-21T19:23:41Z,Run,3735.1,1303,1526,39.1,"[-25.75284, 28.249675]",garmin_push_3975021576
667,2635704510,Afternoon Run,2019-08-20T17:18:09Z,Run,10025.4,3113,3263,112.5,"[-25.751442, 28.244747]",garmin_push_3970776292
668,2630282324,Afternoon Run,2019-08-18T17:12:40Z,Run,7208.5,2239,2239,73.5,"[-25.751496, 28.244766]",garmin_push_3964099398
669,2623056171,Morning Run,2019-08-16T06:33:36Z,Run,10367.8,3317,3317,104.1,"[-25.751324, 28.244643]",garmin_push_3955283369
